Date,Biden,Warren,Sanders,Harris,Buttigieg,Biden_TV,Warren_TV,Sanders_TV,Harris_TV,Buttigieg_TV,WEEK
4-Feb-19,29,8,22,13,0,0.601,0.2492,0.3936,0.611,0,6
5-Feb-19,29,8,22,13,0,0.7162,0.7059,0.7501,0.7264,0,6
6-Feb-19,29,8,22,13,0,1.0662,3.563,1.0321,0.9668,0,6
7-Feb-19,29,8,22,13,0,0.4638,2.3487,0.5604,1.0396,0,6
8-Feb-19,29,8,22,13,0,0.26,0.42,0.1115,0.3064,0,6
9-Feb-19,29,8,22,13,0,0.6655,7.0144,0.8439,1.0839,0.0327,6
10-Feb-19,29,8,22,13,0,0.5764,4.9482,0.6311,1.375,0.0555,7
11-Feb-19,30,8,21,11,0,0.7913,5.1564,0.6445,1.1103,0,7
12-Feb-19,30,8,21,11,0,0.3834,1.0538,0.1103,0.9978,0,7
13-Feb-19,30,8,21,11,0,0.3097,0.7754,0.403,0.7939,0,7
14-Feb-19,28.5,8.5,19,13,0,0.5855,0.3088,0.3474,0.7985,0.0635,7
15-Feb-19,28.5,8.5,19,13,0,0.7946,0.4669,0.3016,0.6962,0.021,7
16-Feb-19,28.5,8.5,19,13,0,0.8475,0.5476,0.1079,1.4295,0,7
17-Feb-19,30,8,21,11,0,1.62,0.8529,0.7852,1.5352,0,8
18-Feb-19,29,7,27,10,1,1.3241,0.6335,1.2992,1.5484,0,8
19-Feb-19,32,5,22.66666667,10,0.333333333,1.4793,1.7095,9.2139,3.0058,0,8
20-Feb-19,32,5,22.66666667,10,0.333333333,1.3092,1.3541,6.9385,1.5327,0,8
21-Feb-19,29,7,27,10,1,0.6245,1.2357,1.8371,1.2032,0,8
22-Feb-19,29,7,27,10,1,0.6554,0.5528,1.6423,1.8427,0,8
23-Feb-19,29,7,27,10,1,1.254,1.1695,2.7853,2.1034,0,8
24-Feb-19,29,7,27,10,1,0.9606,1.1568,4.3308,2.6783,0.0599,9
25-Feb-19,31,7,27,11,1,0.3945,1.1438,2.7582,1.3498,0,9
26-Feb-19,31,7,27,11,1,0.7578,1.0823,3.3567,0.8626,0,9
27-Feb-19,31,7,27,11,1,0.6193,0.3944,0.3997,0.6289,0,9
28-Feb-19,31,7,27,11,1,0.5146,0.0924,0.2462,0.1991,0,9
1-Mar-19,29.5,7.5,26,10.5,0.5,1.8127,0.3409,0.7359,0.2622,0,9
2-Mar-19,29.5,7.5,26,10.5,0.5,2.1873,0.6978,6.434,0.5493,0,9
3-Mar-19,29.5,7.5,26,10.5,0.5,1.4221,0.7167,4.6794,0.559,0,10
4-Mar-19,29.5,7.5,26,10,0.5,0.9318,0.233,2.3002,0.4291,0,10
5-Mar-19,31,7,27,10,1,0.7186,0.2665,1.7273,0.4347,0.0647,10
6-Mar-19,31,7,27,10,1,0.7543,0.1598,1.0465,0.3506,0,10
7-Mar-19,31,7,27,10,1,1.7626,0.4224,1.116,0.5607,0,10
8-Mar-19,31,7,27,10,1,2.6553,1.3531,1.4849,0.5914,0.0782,10
9-Mar-19,31,7,27,10,1,2.8414,2.2327,1.9305,0.8685,0.2739,10
10-Mar-19,31,7,27,10,1,3.904,2.3436,4.4656,1.446,0.4738,11
11-Mar-19,35,7,27,8,1,2.743,1.7684,3.187,0.6529,0.2606,11
12-Mar-19,35,7,27,8,1,3.2955,0.9306,0.6327,0.2929,0.1069,11
13-Mar-19,35,7,27,8,1,1.8494,1.0902,0.3827,0.1753,0,11
14-Mar-19,31.5,6.5,23.5,10,1,1.1139,1.2748,0.9224,1.229,0.0468,11
15-Mar-19,31.5,6.5,23.5,10,1,1.0863,0.5785,1.1118,0.4908,0.0427,11
16-Mar-19,31.5,6.5,23.5,10,1,1.5796,0.5484,1.6291,0.3891,0.1375,11
17-Mar-19,30,6.25,24,10,1.5,3.4692,1.0541,1.0577,0.4942,0.3753,12
18-Mar-19,30.66666667,6.333333333,24.66666667,9.333333333,2,4.4108,1.1675,2.6032,0.884,0.0447,12
19-Mar-19,33,5.5,24,8,1.5,2.0556,3.542,1.5961,0.6344,0.1534,12
20-Mar-19,33,5.5,24,8,1.5,3.258,1.4754,2.3522,1.6486,0.2153,12
21-Mar-19,32,5.5,22,8,3,4.0265,0.8375,1.2246,0.7532,0.366,12
22-Mar-19,32,5.5,22,8,3,2.211,0.9263,1.2757,0.8906,0.1704,12
23-Mar-19,32,5.5,22,8,3,0.0879,0.1291,0.283,0.3436,0.0206,12
24-Mar-19,32,5.5,22,8,3,0.2903,0.5043,0.5356,0.3389,0.1443,13
25-Mar-19,30.75,5.5,19.75,8,2.75,0.2022,0.3265,0.3792,0.5045,0.1325,13
26-Mar-19,31.33333333,6,20,8,2.333333333,0.1526,0.151,0.0639,0.7145,0.1293,13
27-Mar-19,33,7,25,8,3,2.368,0.3738,0.4587,0.7576,0.1101,13
28-Mar-19,33,7,25,8,3,1.4699,0.6777,0.5268,0.5489,0.4184,13
29-Mar-19,33,7,25,8,3,0.4205,0.3283,0.2426,0.2413,0.1754,13
30-Mar-19,33,7,25,8,3,2.0269,0.7246,0.974,0.3519,0.1968,13
31-Mar-19,33,7,25,8,3,5.9748,0.5483,0.8945,0.3298,0.0878,14
1-Apr-19,32,7,23,9,5,10.017,0.8964,1.296,0.1967,1.0077,14
2-Apr-19,32,7,23,9,5,9.1205,0.3107,2.2472,1.3448,1.3971,14
3-Apr-19,32,7,23,9,5,7.5897,0.3575,2.1715,0.7324,0.6061,14
4-Apr-19,32,7,23,9,5,7.4772,0.4198,1.8572,0.3792,0.8889,14
5-Apr-19,34,6.5,21,9,4.5,10.6862,0.552,1.9285,0.7733,0.5317,14
6-Apr-19,34,6.5,21,9,4.5,7.8822,0.4345,1.7121,0.5555,0.2818,14
7-Apr-19,32,7,23,9,5,6.1253,0.4954,1.971,0.4982,0.7845,15
8-Apr-19,31,7,23,9,7,2.1619,0.5855,2.7204,0.6783,1.2287,15
9-Apr-19,31,7,23,9,7,1.0039,0.2262,1.5165,0.5154,0.5726,15
10-Apr-19,31,7,23,9,7,0.6098,0.4984,3.1015,0.412,0.4543,15
11-Apr-19,27.33333333,6.666666667,24,8.333333333,8,0.981,1.2883,2.2151,0.9321,0.6056,15
12-Apr-19,27.33333333,6.666666667,24,8.333333333,8,1.0343,1.0523,1.509,0.2413,2.6818,15
13-Apr-19,27.33333333,6.666666667,24,8.333333333,8,0.7355,0.5822,1.9632,0.558,1.6048,15
14-Apr-19,27.33333333,6.666666667,24,8.333333333,8,0.8451,0.3685,2.863,0.5038,3.0083,16
15-Apr-19,28.5,6.5,22,8,8.5,0.681,0.4071,4.3209,0.5057,2.7524,16
16-Apr-19,30,7,24,8,9,1.3395,0.6459,6.4311,0.7442,2.5501,16
17-Apr-19,30,7,24,8,9,1.4421,0.5009,6.0061,0.4667,1.8881,16
18-Apr-19,30,7,24,8,9,0.4003,0.0899,0.8231,0.1718,0.2755,16
19-Apr-19,30,7,24,8,9,2.7453,0.8327,0.6462,0.5199,0.1548,16
20-Apr-19,30,7,24,8,9,3.1406,3.1805,0.9342,0.5649,0.5158,16
21-Apr-19,30,7,24,8,9,3.0073,1.9127,1.7156,0.7914,0.3296,17
22-Apr-19,36,9,22,7,8,3.0752,2.7799,2.1658,0.7055,1.0913,17
23-Apr-19,36,9,22,7,8,4.9906,3.6172,5.4894,2.6657,2.9266,17
24-Apr-19,36,9,22,7,8,5.7498,1.8507,4.7142,2.2034,1.1143,17
25-Apr-19,37.5,8.5,18.5,6,7.5,23.5256,1.6065,4.3531,1.3564,1.6225,17
26-Apr-19,37.66666667,9.666666667,16,6.666666667,8.333333333,24.0968,1.5213,4.324,1.019,0.9299,17
27-Apr-19,37.66666667,9.666666667,16,6.666666667,8.333333333,10.4819,1.1844,1.7349,0.4519,0.406,17
28-Apr-19,37.66666667,9.666666667,16,6.666666667,8.333333333,5.5195,0.8871,2.2478,0.8663,0.5981,18
29-Apr-19,39,10,15,7.5,8,14.3126,1.3897,1.4022,0.7943,1.037,18
30-Apr-19,42,6.5,16.5,8,4,13.1931,1.0546,3.5984,0.6931,0.6788,18
1-May-19,42,6.5,16.5,8,4,2.9845,0.8902,1.4052,0.8286,0.4076,18
2-May-19,40,8,19,7,6,4.4874,0.5657,0.7745,2.8634,0.543,18
3-May-19,43,7.5,16.5,6.5,7,3.6935,0.8208,1.9183,1.4903,0.4155,18
4-May-19,43,7.5,16.5,6.5,7,5.0272,1.7596,2.1623,1.3061,0.7052,18
5-May-19,40,8,19,7,6,5.9792,0.6676,2.1276,1.3863,0.7885,19
6-May-19,39,8,19,8,6,4.7755,0.4205,2.251,1.1517,0.5091,19
7-May-19,39,8,19,8,6,5.1542,0.8071,1.7733,0.9323,1.4154,19
8-May-19,39,8,19,8,6,1.3972,1.2025,0.5161,0.4915,0.2212,19
9-May-19,39,8,19,8,6,2.08,0.8703,1.1099,0.6336,0.5044,19
10-May-19,36,9,22,9,7,5.9014,1.6326,1.7452,1.0512,0.2878,19
11-May-19,35.66666667,9,20.33333333,7.666666667,6.666666667,6.7693,0.6922,1.8639,0.5393,0.7095,19
12-May-19,35.66666667,9,20.33333333,7.666666667,6.666666667,4.1143,1.0435,0.9963,1.2758,1.1695,20
13-May-19,35.66666667,9.333333333,20.33333333,7.666666667,6.666666667,6.3013,1.026,1.6437,1.1711,1.1203,20
14-May-19,37,9,18,6.5,6,5.5627,0.8087,2.0687,1.0842,0.7312,20
15-May-19,39,9,19,8,6,4.785,1.4602,1.5796,1.5358,0.4302,20
16-May-19,35.66666667,10.66666667,16.66666667,9,5.666666667,4.4877,0.931,1.2371,1.5218,0.5552,20
17-May-19,35,10,16,8.25,5.75,4.6736,1.0763,2.1555,0.4308,1.2358,20
18-May-19,35,10,16,8.25,5.75,8.1583,1.3124,2.0571,0.7175,1.007,20
19-May-19,35.66666667,10.66666667,16.66666667,9,5.666666667,5.959,1.1239,2.1666,0.6856,1.6748,21
20-May-19,36.25,10.25,17.5,8.5,6,5.723,1.0969,1.8532,1.7664,2.792,21
21-May-19,38,9,20,7,7,5.2709,0.7075,0.8608,0.7275,0.8563,21
22-May-19,38,9,20,7,7,3.0838,0.6007,1.2221,0.1282,0.2171,21
23-May-19,38,9,20,7,7,1.0321,0.6118,0.8389,0.6416,0.4163,21
24-May-19,38,9,20,7,7,1.8023,0.631,0.6796,0.3325,0.4611,21
25-May-19,38,9,20,7,7,3.0834,1.1859,2.7555,0.8579,0.5043,21
26-May-19,38,9,20,7,7,5.6388,1.1625,1.577,0.8136,0.4754,22
27-May-19,38,10,19,7,7,6.6374,2.0402,1.0846,0.2786,0.6005,22
28-May-19,35,8.5,18.5,7.5,6,11.2543,1.2227,1.3987,1.7016,0.9197,22
29-May-19,35.33333333,7.333333333,18,7.666666667,5.666666667,5.3902,0.8694,0.829,2.3314,0.2853,22
30-May-19,35.33333333,7.333333333,18,7.666666667,5.666666667,2.6332,0.7872,1.3195,0.3105,0.1098,22
31-May-19,35,8.5,18.5,7.5,6,1.6992,1.8436,1.1086,0.4565,0.47,22
1-Jun-19,36.5,7.5,17.5,5.5,7.5,2.169,1.1116,0.812,1.0275,0.1284,22
2-Jun-19,33.33333333,9,16.66666667,6.666666667,8.333333333,4.3343,1.5667,1.1483,1.1869,0.3899,23
3-Jun-19,32,11.5,17,8,8.5,2.9116,0.4608,0.8662,0.5601,0.8563,23
4-Jun-19,32,11.5,17,8,8.5,4.5123,1.049,1.0394,0.8692,1.019,23
5-Jun-19,37,11,19,7,7,6.2896,2.0387,1.8979,0.3531,0.5192,23
6-Jun-19,33.5,13,19,7,7.5,4.9994,2.9562,1.1785,0.232,0.4239,23
7-Jun-19,33.5,13,19,7,7.5,7.9904,0.6721,0.7941,0.5661,0.3917,23
8-Jun-19,33.5,13,19,7,7.5,7.0648,0.6653,0.6334,0.4004,0.5519,23
9-Jun-19,31.5,12.75,15.75,7.25,7.75,6.6881,2.6225,2.655,1.2159,1.441,24
10-Jun-19,31.75,12.75,15.75,7.25,7.75,7.0142,2.633,2.2197,0.5819,1.3375,24
11-Jun-19,31.75,11.5,14.75,7.5,8,15.1815,1.5963,1.2389,0.3477,1.4666,24
12-Jun-19,33,11.25,15.25,7.75,7.25,14.8158,2.0994,5.0862,1.206,0.9539,24
13-Jun-19,33.33333333,12,16,7.666666667,7,4.0938,1.7335,2.9178,1.3324,0.3245,24
14-Jun-19,33.75,10.75,15.25,7,6.25,4.954,2.4385,2.7496,1.1131,1.0587,24
15-Jun-19,33.75,10.75,15.25,7,6.25,4.7389,3.6759,2.6419,1.224,1.3549,24
16-Jun-19,32,14,15,7.333333333,7,5.9227,2.4794,2.5189,1.3496,1.2255,25
17-Jun-19,32,14.66666667,15,7,7,6.8128,3.7183,2.9262,1.3802,1.2627,25
18-Jun-19,32,14.5,15.5,6.5,8,6.0052,1.6116,1.6892,0.4541,0.7907,25
19-Jun-19,38,13,19,6,7,7.2702,2.4386,2.6218,0.9175,0.4689,25
20-Jun-19,38,13,19,6,7,11.2531,2.3315,2.0879,0.5763,0.1681,25
21-Jun-19,38,13,19,6,7,8.5898,0.9452,0.542,0.4996,0.2618,25
22-Jun-19,32.33333333,15.33333333,20.33333333,6.666666667,6.333333333,7.9643,1.9234,2.104,1.7974,1.1863,25
23-Jun-19,32.33333333,15.33333333,20.33333333,6.666666667,6.333333333,5.8555,1.0363,0.975,0.7725,1.4249,26
24-Jun-19,29.5,16.5,21,7,6,4.6693,2.1408,3.7472,0.8802,2.4202,26
25-Jun-19,25,19,15,7,6,5.6346,3.8719,2.8552,0.6058,1.1712,26
26-Jun-19,34,11,15,9,3,2.9245,4.7846,1.9968,0.6209,0.4701,26
27-Jun-19,33.5,11.5,17,10.5,4.5,9.2098,8.2207,5.9786,1.7952,1.1731,26
28-Jun-19,28.2,12.8,16,14.2,4.2,21.6691,2.1251,4.9676,13.9539,2.6463,26
29-Jun-19,28.2,12.2,15.2,14,4.2,9.8827,1.6113,2.3036,7.1107,1.4772,26
30-Jun-19,26,13.8,14,15.2,5.2,3.8445,1.1193,1.2742,5.0688,0.4517,27
1-Jul-19,26.5,14.5,15,15.5,5.5,7.4434,2.0542,2.0798,7.1244,2.2443,27
2-Jul-19,27,16,14,14.5,7,8.3587,3.2364,3.6595,7.4917,2.2458,27
3-Jul-19,31,13,19,14,6,5.4477,2.348,2.838,6.0184,2.1549,27
4-Jul-19,31,13,19,14,6,4.9591,0.658,1.0987,3.5715,0.8333,27
5-Jul-19,31,13,19,14,6,6.6011,0.9917,1.0698,3.8759,0.5554,27
6-Jul-19,30.5,14,17,14.5,5.5,5.9349,1.3598,1.3346,3.4148,0.5356,27
7-Jul-19,27.25,16.25,14.75,14.25,6,7.8434,1.108,0.9298,3.4409,0.8016,28
8-Jul-19,27.5,16.5,14.75,14,5.75,7.7353,1.4711,1.0933,3.9167,0.6186,28
9-Jul-19,26.66666667,17,14.66666667,13.66666667,6,5.6081,1.5023,1.6197,1.9993,0.1749,28
10-Jul-19,32,14,19,13,5,1.9954,0.8511,1.1293,0.9468,0.181,28
11-Jul-19,32,14,19,13,5,3.6601,0.7129,1.1967,0.9363,0.972,28
12-Jul-19,30.5,11.5,17.5,12,3,5.4381,3.0643,1.6348,3.4826,1.1483,28
13-Jul-19,30.5,11.5,17.5,12,3,1.6691,0.2906,0.2941,0.5859,0.2231,28
14-Jul-19,28.5,15,15.5,12,5.5,2.2923,1.2064,0.9459,1.2085,0.3983,29
15-Jul-19,29,15,15,12,5.5,3.4886,1.0989,1.6886,1.0436,0.3083,29
16-Jul-19,29,15,15,12,5.5,5.4135,1.4572,2.3951,1.823,0.48,29
17-Jul-19,33,14,18,13,5,3.6259,1.296,3.1306,2.216,0.5708,29
18-Jul-19,33,14,18,13,5,2.4238,1.6892,1.8929,1.5852,0.3715,29
19-Jul-19,33,14,18,13,5,6.5102,3.7331,4.3434,3.9346,1.0433,29
20-Jul-19,33,14,18,13,5,1.8427,1.2193,1.8277,1.2144,0.1805,29
21-Jul-19,30.33333333,14.66666667,15.33333333,10.66666667,5.666666667,1.6961,1.2093,1.7834,0.7389,0.3717,30
22-Jul-19,30.33333333,14.33333333,15.33333333,10.33333333,5.666666667,1.793,1.4641,1.7475,1.1704,0.1975,30
23-Jul-19,30.33333333,14.33333333,15.33333333,10.33333333,5.666666667,2.4316,0.786,0.677,1.1649,0.0906,30
24-Jul-19,33,13,18,12,5,0.6053,0.2079,0.0403,0.2623,0.0208,30
25-Jul-19,32.33333333,15,13.66666667,11.66666667,5.666666667,4.6634,0.2127,0.345,2.315,0.0864,30
26-Jul-19,32.33333333,15,13.66666667,11.66666667,5.666666667,8.9136,1.286,1.3775,4.315,0.4752,30
27-Jul-19,31.66666667,15.16666667,15.66666667,11,5.666666667,4.956,2.831,1.8718,3.3169,0.6221,30
28-Jul-19,31.66666667,15.16666667,15.66666667,11,5.666666667,4.5393,1.5349,2.7737,2.0842,0.4941,31
29-Jul-19,29.66666667,17,15,11,6,3.4257,1.277,3.2325,3.1203,0.3034,31
30-Jul-19,28,18.5,12.5,11,6,6.5362,7.1668,8.2187,3.661,2.0955,31
31-Jul-19,32,12.5,14.5,10,5,12.4423,9.7646,9.2012,7.0835,1.8774,31
1-Aug-19,32.2,16,16.2,9.2,5.8,19.7412,3.3948,2.2842,9.6932,0.339,31
2-Aug-19,32.66666667,18.33333333,17.66666667,8.333333333,6.333333333,7.5046,1.7927,1.5889,2.3149,0.5615,31
3-Aug-19,30.75,18.25,16.5,8.25,6.5,4.0689,1.2631,0.8828,1.3475,0.2648,31
4-Aug-19,30.75,18.25,16.5,8.25,6.5,0.5504,0.237,0.5378,0.6776,0.4858,32
5-Aug-19,30.75,18,16.75,8.25,6.25,1.2881,0.4218,0.8469,0.7344,0.0226,32
6-Aug-19,29,16,16.5,8.5,6,1.3759,1.5596,0.9483,0.2927,0.5823,32
7-Aug-19,33,14,20,9,5,4.3233,1.8962,1.429,0.9345,0.24,32
8-Aug-19,33,14,20,9,5,5.5468,2.1508,1.1458,0.6394,0.332,32
9-Aug-19,32,12,18,8,4.5,5.3174,1.704,0.6508,1.1628,0.1108,32
10-Aug-19,29,14.66666667,17.33333333,8,5,3.3511,2.0003,0.9441,1.594,0.2669,32
11-Aug-19,29,18,15.33333333,8.333333333,4.666666667,3.4161,1.5264,1.2675,1.2259,0.1539,33
12-Aug-19,28.25,16.5,14.75,8.25,4.5,5.0316,1.4058,0.9143,1.3458,0.4168,33
13-Aug-19,28.25,16.5,14.75,8.25,4.5,3.3785,1.246,1.9323,1.1571,0.4559,33
14-Aug-19,29.5,13,16.5,8.5,4.5,2.294,1.2464,1.1895,0.6667,0.3777,33
15-Aug-19,29.33333333,13.33333333,16,7.333333333,4.666666667,1.5041,1.3463,1.0232,1.297,0.3066,33
16-Aug-19,26.75,15,17,7.5,4.5,3.5055,4.0998,2.4346,1.4741,0.3299,33
17-Aug-19,25.8,15.6,17.4,7.6,5.2,4.2877,3.4381,2.4473,0.7228,0.8091,33
18-Aug-19,25.8,15.6,17.4,7.6,5.2,3.2884,3.3335,2.2463,0.8136,0.4894,34
19-Aug-19,25.5,16,18,8,5.25,2.0944,2.819,1.1775,0.3346,0.0656,34
20-Aug-19,26.8,15.6,16.8,7.6,5.4,11.1343,4.8557,2.716,2.4185,0.4022,34
21-Aug-19,31.25,14.75,15,7.25,5,5.4167,1.818,1.278,0.6472,0.2892,34
22-Aug-19,30.6,16.6,14.4,7,5,3.4756,1.8907,2.1184,1.4411,0.5117,34
23-Aug-19,30.5,16.16666667,14.83333333,6.5,4.833333333,3.2404,1.2973,2.0931,0.4473,0.5328,34
24-Aug-19,30.35714286,15.78571429,16.28571429,7.142857143,4.571428571,4.0981,1.3128,1.4801,0.4551,0.1965,34
25-Aug-19,29.85714286,17,15.71428571,7.571428571,4.714285714,2.9237,1.3255,1.4891,0.5325,0.3551,35
26-Aug-19,29.71428571,17,16.28571429,7.714285714,4.428571429,3.1514,2.8317,1.808,0.281,0.1518,35
27-Aug-19,29,17,15,7.4,4.6,7.9348,5.6619,3.8417,0.5067,0.3404,35
28-Aug-19,29,17,15,7.4,4.6,6.9422,2.8979,2.9463,0.6441,0.3742,35
29-Aug-19,29.33333333,17,15,7.333333333,4.666666667,4.0603,1.8351,1.3508,0.9124,0.3973,35
30-Aug-19,29.33333333,17,15,7.333333333,4.666666667,7.4722,1.658,0.8833,0.3329,0.1771,35
31-Aug-19,30,13.5,16.5,8,4.5,2.7312,1.0704,0.9946,0.3107,0.0435,35
1-Sep-19,28.66666667,16.33333333,15.66666667,7,4.666666667,1.4221,0.7715,0.5533,0.13,0.0643,36
2-Sep-19,29,16.75,16.75,6.75,4.5,1.0641,0.5802,0.6337,0.0444,0.1314,36
3-Sep-19,29,16.75,16.75,6.75,4.5,1.8414,0.5404,0.3396,0.1815,0.1362,36
4-Sep-19,30,15,17.66666667,7.333333333,4.333333333,2.7969,1.2043,0.9246,0.4922,0.25,36
5-Sep-19,28.5,15.75,17.5,7.5,4.75,2.5464,1.6079,1.5623,0.6823,0.9523,36
6-Sep-19,28.33333333,15,17,7.666666667,5,2.3983,0.7109,0.836,0.76,0.635,36
7-Sep-19,28,14.25,16.5,7.5,4.75,4.5962,2.218,1.8864,0.9896,0.8131,36
8-Sep-19,27.6,16.6,16.4,7.2,5,3.701,1.6234,1.6026,0.5952,0.2269,37
9-Sep-19,24,18.33333333,16.33333333,6,5.333333333,2.3754,1.9285,1.1166,0.6563,0.0233,37
10-Sep-19,24,18.5,16,5,5,0.8202,0.7662,0.6017,0.1567,0.0434,37
11-Sep-19,24,18.5,16,5,5,2.2705,2.517,1.142,0.3861,0.4433,37
12-Sep-19,24,18.5,16,5,5,8.7209,7.32,2.7697,1.4829,0.6031,37
13-Sep-19,32,20.66666667,17,5.666666667,5.666666667,15.8294,6.2075,4.0559,2.5989,1.2049,37
14-Sep-19,30.5,20.75,16.25,5.75,6.5,6.3959,3.1982,2.166,0.7731,0.5387,37
15-Sep-19,30.2,19.8,16.6,6,6.2,5.4324,1.9049,1.3959,0.8792,0.5188,38
16-Sep-19,29.75,20.25,15.75,6,6.5,3.075,2.612,1.2734,0.7509,1.1671,38
17-Sep-19,27.5,18.5,16,6.5,7,2.613,3.2021,1.1497,1.2225,0.2003,38
18-Sep-19,,,,,,5.6508,5.4888,2.4944,1.5901,0.5884,38
19-Sep-19,,,,,,2.8164,2.6851,1.4543,1.575,0.4905,38
20-Sep-19,,,,,,10.6697,3.0854,0.8414,0.367,0.1645,38
